Название,Юрлицо или физлицо,Год признания,Дата внесения,Статус,Сфера деятельности,Описание деятельности,Причина признания,Экстремистская организация,Прекратили работу,Исключена из реестра,Год исключения,Причина исключения
Пономарев Лев Александрович,Физлицо,2020,12/28/2020,«Иностранный агент» (СМИ физлицо),Правозащитные организации широкого профиля,"Советский и российский политический и общественный деятель. Один из основателей всероссийского общества по увековечиванию памяти жертв политических репрессий «Мемориал», активный участник предвыборных выступлений и массовых ненасильственных акций демократов в 1989-1990 годах, один из основателей Московского объединения избирателей и движения «Демократическая Россия». Депутат двух созывов российского парламента. Осенью 1991 года возглавлял парламентскую комиссию Верховного Совета по расследованию преступления Государственного комитета по чрезвычайному положению (ГКЧП). Инициировал создание многопрофильной правозащитной приемной «Горячая Линия». В 1997 году выступил инициатором и организатором инициативной группы «Общее действие», объединившей виднейших представителей российского правозащитного сообщества. В том же году основал правозащитное движение «За права человека». В 2002 году выступил организатором Международной конференции «За прекращение войны и установление мира в Чеченской Республике».","Лев Пономарев руководил несколькими общественными организациями, в том числе НКО «Горячая линия», которая официально получила грант от комитета ООН по пыткам, и «За права человека», которая была признана НКО-«иноагентом». 
По информации Минюста, Пономарев признан «иноагентом» на основании письма Росфинмониторинга о получении им денег из-за границы и репост в фейсбуке статей иностранных СМИ.",,,,,
Камалягин Денис Николаевич,Физлицо,2020,12/28/2020,«Иностранный агент» (СМИ физлицо),СМИ,"Главный редактор сайта «Псковская губерния» — независимой еженедельной региональной общественно-политической газеты, издаваемой на территории Псковской области. Возглавлял «МК в Пскове» на старте проекта в 2016 году.

Спустя месяц после того, как Денис Камалягин получил статус «иноагента», он отправил денежные переводы губернатору Псковской области Михаилу Ведерникову, депутату Государственной Думы Александру Козловскому и главе администрации Пскова Александру Братчикову. Каждому — чуть больше доллара. Затем в отчете для Минюста он написал, что чиновники получили финансирование от «иностранного агента». Это случилось вскоре после того, как Госдума приняла закон об «аффилированных с „иностранными агентами“ лицах». По нему участвующие в выборах должны указывать в своей рекламной кампании, что они связаны с «иноагентами». Чиновники вернули деньги Денису Камалягину.","Роскомнадзор предоставил справку, что на сайте «Радио Свобода» Камалягин 16 раз упоминается в связи с активной гражданской позицией и как эксперт по политическим вопросам. Минюст утверждает, что деятельность журналиста связана с политикой, так как он пишет на политические темы, и получает денежные переводы (от кого конкретно не уточняется).",,,,,
Маркелов Сергей Евгеньевич,Физлицо,2020,12/28/2020,«Иностранный агент» (СМИ физлицо),СМИ,"Российский журналист, с 2016 года сотрудничает с изданиями «7х7», «Новая газета», «Дождь» и Радио Свобода. В 2011–2015 годах работал телекорреспондентом в ГТРК «Карелия», в 2015–2016 годах – корреспондентом отдела новостей «Столица на Онего».

За репортаж о политических узниках Узбекистана получил в 2019 году премию «Редколлегия». В 2018 году получил американскую премию ICFJ Global Health Reporting Contest за текст о людях с психическими расстройствами.","По информации Минюста, сведения о Маркелове как потенциальном иноагенте были переданы в Минюст от «органа государственной власти РФ» (без уточнения). Сведения заключались в получении Маркеловым денежных средств от иностранных источников, а именно от московской редакции «Радио Свобода».",,,,,
Программно-целевой Благотворительный Фонд «СВЕЧА»,Юрлицо,2020,12/25/2020,«Иностранный агент» (НКО),Профилактика ВИЧ и помощь наркозависимым,"Благотворительный фонд «СВЕЧА» был основан в 2001 году. Организация занималась помощью ВИЧ-инфицированным людям, а также профилактикой ВИЧ и других общественно значимых заболеваний. «СВЕЧА» помогала людям восстановить документы, найти реабилитационный центр, врача или ВИЧ-сервисную организацию. Кроме того, организация создала горячую линию по вопросам ВИЧ и СПИДа, а ее сотрудники проводили консультации для родственников ВИЧ-инфицированных.",«СВЕЧА» была признана «иноагентом» «во исполнение требований действующего законодательства». В качестве иностранных источников финансирования в реестре указана одна американская организация.,,,,,
Красноярская региональная общественная организация «Мы против СПИДа»,Юрлицо,2020,12/25/2020,«Иностранный агент» (НКО),Профилактика ВИЧ и помощь наркозависимым,"Цель организации «Мы против СПИДа» — ограничить распространение ВИЧ в Красноярском крае, а также способствовать толерантному отношению к людям, живущим с ВИЧ и СПИДом. Организация занимается информированием о профилактике ВИЧ-инфекции, проводит консультации и оказывает медицинскую помощь для наиболее уязвимых групп населения.","Организация «Мы против СПИДа» была признана «иноагентом» «во исполнение требований действующего законодательства». В качестве иностранных источников финансирования в реестре указана
одна американская организация.",,,,,
"Prague Civil Society Centre («Пражский Центр Гражданского Общества», «Пражский гражданский центр») (Чешская Республика)			",Юрлицо,2020,12/25/2020,«Нежелательная организация»,Поддержка НКО,"«Пражский центр гражданского общества» — это чешская неправительственная организация, основная цель которой — поддержка гражданского общества и независимых медиа в ряде стран Европы и Центральной Азии.

Организация помогает независимым журналистам и гражданским группам поддерживать связь со своей аудиторией, финансирует независимые СМИ, проводит различные обучающие программы, курсы и мастер-классы — например. по созданию подкастов и запуску фандрайзинговых кампаний.","«Пражский гражданский центр» был признан «нежелательной» организацией из-за спонсирования правительствами Швеции, Чехии и США, также наличия финансирования со стороны Еврокомиссии и Oak Foundation.",,,,,
Association of Schools of Political Studies of the Council of Europe («Ассоциация школ политических исследований при Совете Европы») (Франция),Юрлицо,2020,12/22/2020,«Нежелательная организация»,"""Социально-просветительские инициативы, образовательные проекты""","«Ассоциация школ политических исследований при Совете Европы» (АШПИ) — французская неправительственная организация, цель которой — «гражданское просвещение молодых политических, экономических, общественных и культурных лидеров стран с переходной экономикой». Ежегодно ассоциация проводит семинары и конференции по вопросам прав человека, европейской интеграции, демократии и глобализации.

Каждый год более тысячи выпускников АШПИ со всего мира встречаются в Страсбурге на «Всемирном форуме Совета Европы в поддержку демократии», где они участвуют в пленарных заседаниях и семинарах самого высокого уровня.","«Ассоциация школ политических исследований при Совете Европы» была признана «нежелательной» организацией, так как, по решению Генпрокуратуры, деятельность организации «представляет угрозу основам конституционного строя и безопасности» России.",,,,,
Санкт-Петербургский благотворительный фонд «Гуманитарное действие»,Юрлицо,2020,12/21/2020,«Иностранный агент» (НКО),Профилактика ВИЧ и помощь наркозависимым,"Фонд «Гуманитарное действие» был зарегистрирован в Санкт-Петербурге в 2001 году как преемник организации «Врачи мира». Он занимается профилактикой ВИЧ, вирусных гепатитов и туберкулеза, а также оказывает помощь наркозависимым людям, секс-работникам и их партнерам. Кроме того, фонд проводит психологические и юридические консультации, и помогает получить антиретровирусную терапию.","«во исполнение требований действующего законодательства»

иностранных источников в реестре нет",,,,,
Автономная некоммерческая организация социально-правовых услуг «Акцент»,Юрлицо,2020,12/21/2020,«Иностранный агент» (НКО),Поддержка ЛГБТК+,«Акцент» был юридическим лицом Ресурсного центра для ЛГБТК-людей в Екатеринбурге.,«Акцент» был признан «иноагентом» «во исполнение требований действующего законодательства». В качестве иностранных источников финансирования в реестре указаны 11 иностранных организаций.,,checked,checked,2021,Прекращение деятельности НКО
Межрегиональная общественная организация реализации социально-просветительских инициатив и образовательных проектов «Открытый Петербург»,Юрлицо,2020,12/21/2020,«Иностранный агент» (НКО),"""Социально-просветительские инициативы, образовательные проекты""","Организация «Открытый Петербург» была создана в 2017 году для образовательной и просветительской деятельности. Учредителем выступил бывший исполнительный директор «Открытой России» Андрей Пивоваров. «Открытому Петербургу» формально принадлежал проект поддержки муниципальных депутатов «Объединенные демократы», созданный в 2018 году Андреем Пивоваровым и Дмитрием Гудковым. Проект занимался продвижением кандидатов от демократических сил на муниципальных выборах в Петербурге, Татарстане, Новгородской, Ивановской и Владимирской областях.","На сайте Министерства юстиции в качестве источника финансирования указана некая шведская организация, однако создатель «Открытого Петербурга» отрицает получение иностранного финансирования.",,,,,
Социально-ориентированная автономная некоммерческая организация содействия профилактике и охране здоровья граждан «Феникс ПЛЮС»,Юрлицо,2020,12/21/2020,«Иностранный агент» (НКО),Профилактика ВИЧ и помощь наркозависимым,"Организация «Феникс ПЛЮС» была создана в Орле в 2006 году. Организация занимается помощью ВИЧ-инфицированным, а также мужчинам, имеющим сексуальные отношения с другими мужчинами. Параллельно с работой в Орле волонтеры «Феникс ПЛЮС» создали ВИЧ-сервисные сообщества в 12 городах России. За годы своей работы организация получила несколько международных премий за вклад в борьбу с ВИЧ и СПИДом, в том числе премию ООН Red Ribbon Awards («Красная лента»).

При поддержке фонда Элтона Джона «Феникс» стал первой организацией в России, продвигающей экспресс-тестирование на ВИЧ по слюне. После признания «Феникса» «иноагентом» осенью 2020 проект по тестированию пришлось закрыть.","Министерство юстиции сочло, что «Феникс ПЛЮС» занимается политикой на портале «Парни ПЛЮС», который посвящен темам ЛГБТК-сообщества и здоровья. Внимание министерства привлекла публикация организации о том, что в России нет программ по профилактике ВИЧ среди гомосексуальных мужчин. Подобная информация, по мнению министерства, говорит о том, что «Феникс ПЛЮС» ведет политическую деятельность с помощью иностранного финансирования. 
 
Председатель «Феникс ПЛЮС»  подтверждает, что организация на 95% финансируется из-за рубежа, однако отрицает причастность к политической деятельности.",,,,,
Чешское информационное агентство «MEDIUM-ORIENT»,Юрлицо,2020,12/21/2020,«Иностранный агент» (СМИ юрлицо),СМИ,"Чешское информационное агентство, учредитель регионального информационного агентства Caucasus Times — независимого СМИ, которое специализируется на новостях Юга России и Закавказья. Caucasus Times освещает события, происходящие в Чечне, Ингушетии, Дагестане, Кабардино-Балкарии, Карачаево-Черкесии, Адыгее, Северной Осетии, в Краснодарском и Ставропольском краях, а также в республиках Закавказья. Кроме того, агентство публикует аналитические обзоры главных политических и социально-экономических событий в регионе, осуществляет мониторинг региональных СМИ, проводит ежемесячные социологические исследования. Главный офис агентства «MEDIUM-ORIENT» располагается в Праге и финансируется Институтом «Открытое общество» (фонд Сороса).",Финансируется  Институтом «Открытое общество» (фонд Сороса),,,,,
Фонд содействия правовому просвещению населения «Лига Избирателей»,Юрлицо,2020,10/28/2020,«Иностранный агент» (НКО),Защита избирательных прав,"«Лига избирателей» была создана в 2012 году для общественного контроля на президентских выборах. Фонд занимается правовой поддержкой по вопросам избирательных прав и права на участие в референдуме, а также поддержкой сервисов и участников общественного контроля за избирательным процессом в России. В число учредителей входят Леонид Парфенов, Юрий Шевчук, Борис Акунин и другие медийные фигуры. ","Минюст выявил иностранное финансирование «Лиги Избирателей» в размере 225 руб. 40 коп., которое в виде пожертвования в июле 2019 года якобы сделала гражданка Молдовы. Документов по итогам проверки, подтверждающих иностранное гражданство жертвователя, Минюстом фонду предоставлено не было.",,,,,
International Partnership for Human Rights (Международное партнерство по правам человека) (Бельгия),Юрлицо,2021,8/12/2020,«Нежелательная организация»,Правозащитные организации широкого профиля,"Международное партнерство за права человека — бельгийская неправительственная организация, занимающаяся правозащитной деятельностью. Ее материалы касались резонансных для России тем о свободе слова в Крыму, соблюдении прав человека в Чечне и Дагестане или о мерах российского правительства по борьбе с коронавирусом.","По мнению Генпрокуратуры, деятельность организации «представляет угрозу основам конституционного строя и безопасности Российской Федерации».",,,,,
The European Falun Dafa Association («Европейская ассоциация «Фалунь Дафа») (Великобритания),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Религиозные организации,"Британская организация «Фалунь Дафа» занимается оказанием помощи и поддержки адептам китайской духовной практики Фалуньгун. Фалуньгун — духовная практика, возникшая в Китае в начале 1990-х годов. В ее основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развернуты широкомасштабные репрессии.

«Фалунь Дафа» признана «нежелательной» на территории России.",«Европейская ассоциация «Фалунь Дафа» была признана «нежелательной» организацией из-за связи с адептами практик «Фалуньгун».,,,,,
World Organization to Investigate the Persecution of Falun Gong Inc. (WOIPFG) («Всемирная организация по расследованию преследований Фалуньгун») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Исследовательские организации,"Зарегистрированная в США «Всемирная организация по расследованию преследований «Фалуньгун» занимается оказанием помощи и поддержки последователям китайской духовной практики Фалуньгун. Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развернуты широкомасштабные репрессии.",Организация была признана «нежелательной» организацией из-за связи с адептами практик «Фалуньгун».,,,,,
Doctors Against Forced Organ Harvesting (DAFOH) («Врачи против насильственного извлечения органов») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Правозащитные организации широкого профиля,"Американская организация «Врачи против насильственного извлечения органов» позиционирует себя как независимое международное сообщество медиков, которое информирует о принудительном извлечении органов, в особенности у приверженцев духовной практики Фалуньгун.

Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развернуты широкомасштабные репрессии.

Организация признана «нежелательной» на территории России.","Применение практики «Фалуньгун» и распространение книги «Чжуан Фалунь», внесенной в Федеральный список экстремистской литературы. ",,,,,
Global Mission to Rescue Persecuted Falun Gong Practitioners Inc. (GMRPFGP) («Всемирный совет по спасению подвергаемых гонениям адептов «Фалуньгун») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Религиозные организации,"Американская организация «Всемирный совет по спасению подвергаемых гонениям адептов Фалуньгун» оказывает помощь адептам китайской духовной практики Фалуньгун. Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развёрнуты широкомасштабные репрессии.

«Всемирный совет по спасению подвергаемых гонениям адептов «Фалуньгун» признан «нежелательной» организацией на территории России.",Организация была признана «нежелательной» организацией из-за связи с адептами практик «Фалуньгун».,,,,,
Friends of Falun Gong Inc. («Друзья Фалуньгун») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Религиозные организации,"Организация занимается оказанием помощи и поддержки адептам китайской духовной практики Фалуньгун. Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х гг. деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развёрнуты широкомасштабные репрессии.

«Друзья Фалуньгун» признаны «нежелательной» организацией на территории России.",Организация была признана «нежелательной» организацией из-за связи с адептами практик «Фалуньгун».,,,,,
Coalition to Investigate the Persecution of Falun Gong in China («Коалиция по расследованию преследования в отношении Фалуньгун в Китае») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Исследовательские организации,"Американская организация «Коалиция по расследованию преследования в отношении Фалуньгун в Китае» занимается оказанием помощи и поддержки адептам китайской духовной практики Фалуньгун. Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развернуты широкомасштабные репрессии.",Организация была признана «нежелательной» организацией из-за связи с адептами практик «Фалуньгун».,,,,,
Dragon Springs Buddhist Inc. («Буддистское сообщество «Родники дракона») (США),Юрлицо,2020,7/21/2020,«Нежелательная организация»,Правозащитные организации широкого профиля,"Американская организация «Буддистское сообщество «Родники дракона» (англ. Dragon Springs Buddhist) занимается помощью людям, столкнувшимся с религиозными преследованиями в Китае, поддерживает традиционные формы обучения и искусства, проповедует буддизм и соответствующие практики.","Применение практики Фалуньгун и распространение книги «Чжуан Фалунь», внесенной в Федеральный список экстремистской литературы. 

Фалуньгун — религиозное течение, возникшее в Китае в начале 1990-х годов. В его основе лежит китайская гимнастика цигун в сочетании с элементами буддизма, даосизма, конфуцианства, а также традиционных народных верований. В конце 1990-х годов деятельность движения в КНР была запрещена. Против последователей практики Фалуньгун китайскими властями были развернуты широкомасштабные репрессии.
",,,,,
"Project Harmony, Inc. (PH International) («Прожект Хармони, Инк.»)(Соединенные Штаты Америки)",Юрлицо,2020,4/23/2020,«Нежелательная организация»,"""Социально-просветительские инициативы, образовательные проекты""","Американская неправительственная организация Project Harmony была основана в 1985 году. Миссия проекта — реализация различных образовательных и культурных программ и содействие развитию гражданского общества на постсоветском пространстве. Утверждается, что организация причастна к финансированию московского Центра развития социальных инициатив «Проектория».","«Прожект Хармони, Инк.» был признан «нежелательной» организацией, так как, по решению Генпрокуратуры, деятельность организации «представляет угрозу основам конституционного строя и безопасности» России.",,,,,
Центр развития социальных инициатив «Проектория»,Юрлицо,2020,4/22/2020,«Иностранный агент» (НКО),"""Социально-просветительские инициативы, образовательные проекты""","Центр развития социальных инициатив «Проектория», основанный в декабре 2016 года, занимался образовательными проектами по английскому языку, истории и культуре англоязычных стран, программированию и основам предпринимательства. Кроме того, «Проектория» выделяла гранты на реализацию инициатив в сфере образования, науки и культуры, сотрудничала со «Сколково» и Startup Village. Основным источником финансирования «Проектории» были гранты от американской неправительственной организации Project Harmony.

В апреле 2020 года Генпрокуратура сочла, что Project Harmony угрожает основам конституционного строя и безопасности России. Project Harmony была признана «нежелательной» организацией, а «Проектория» попросила Минюст включить ее в реестр НКО-«иноагентов», чтобы избежать штрафа. Сразу после этого центр «Проектория» заявил о самоликвидации из-за невозможности получать финансирование.","Организация сама подала заявление на включение ее в реестр «иностранных агентов» в связи с иностранным финансированием от неправительственной организации Project Harmony, Inc (PH International, США). В чем заключается политическая деятельность организации, не уточняется.",,checked,checked,2021,Прекращение деятельности НКО
"The Jamestown foundation (JF), («Джеймстаунский фонд») (Соединенные Штаты Америки)",Юрлицо,2020,4/9/2020,«Нежелательная организация»,Помощь мигрантам и беженцам,"Американская неправительственная исследовательская организация «Джеймстаунский фонд» была основана в 1984 году. Ее руководителем стал Глен Ховард. В руководящий совет фонда вошли бывший советник президента США по национальной безопасности Збигнев Бжезинский и бывший директор ЦРУ Джеймс Вулси. После распада СССР активность фонда снизилась. Активизация деятельности фонда началась с приходом к власти Джорджа Буша.

В настоящее время фонд выпускает три бюллетеня и одну еженедельную газету. ","«Джеймстаунский фонд» был признан «нежелательной» организацией, так как, по решению Генпрокуратуры, деятельность организации направлена на разжигание этносепаратизма в национальных республиках России. Также ведомство заподозрило фонд в повышенном внимании к регионам Северного Кавказа и целенаправленном продвижение идеи изменения территориального устройства России.",,,,,
"European Endowment for Democracy («Европейский фонд за демократию», «Европейский фонд в поддержку демократии») (Королевство Бельгия)",Юрлицо,2020,3/12/2020,«Нежелательная организация»,Политические объединения,"«Европейский фонд за демократию» — это организация, созданная в 2013 году Европейским союзом и государствами-членами ЕС в качестве автономного международного целевого фонда, предоставляющего гранты демократическим движения, гражданским и политическим активистам и независимым журналистам «для содействия развитию демократии» в государствах Европейской политики соседства, на Западных Балканах, в Турции и за их пределами.","«Европейский фонд в поддержку демократии» был признан «нежелательной» организацией, так как, по решению Генпрокуратуры, деятельность организации «представляет угрозу основам конституционного строя и безопасности» России.",,,,,
Общество с ограниченной ответственностью «Радио Свободная Европа/Радио Свобода»,Юрлицо,2020,2/11/2020,«Иностранный агент» (СМИ юрлицо),СМИ,"Юридическое лицо некоммерческой международной медиакорпорации Радио Свободная Европа/Радио Свобода, созданное после того, как  Радио Свобода признали «иностранным агентом» на территории России. ","Юрлицо было создано по закону для «Радио Свобода», ранее признанного «иностранным агентом»",,,,,
Некоммерческая Организация Фонд «Правовая инициатива»,Юрлицо,2019,12/13/2019,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«Правовая инициатива» представляет интересы российских граждан в Европейском суде по правам человека. Также организация занимается просветительской работой, выпуская совместно со СМИ материалы о нарушениях прав человека в России. ","По данным Минюста, причиной стала публикация на сайте интервью руководителя организации в Ингушетии. Пресс-секретарь фонда считает, что данное решение является формой давления на работу организации, которая помогает участникам мирных протестов в Ингушетии и проводит бесплатные юридические консультации. Партнер фонда SJI (Нидерланды).",,,,,
